name,entry_name,transmembrane,secretion,peripheral,integrin_interaction,secreted_highlight,secreted_desc,transporter,other,other_desc,tags,tags_description,tags_reason
P49286,MTR1B_HUMAN,True,False,False,False,False,,False,False,,,,
P49682,CXCR3_HUMAN,True,False,False,False,False,,False,False,,,,
P49683,PRLHR_HUMAN,True,False,False,False,False,,False,False,,,,
P50052,AGTR2_HUMAN,True,False,False,False,False,,False,False,,,,
P50391,NPY4R_HUMAN,True,False,False,False,False,,False,False,,,,
P51677,CCR3_HUMAN,True,False,False,False,False,,False,False,,,,
P51679,CCR4_HUMAN,True,False,False,False,False,,False,False,,,,
P51681,CCR5_HUMAN,True,False,False,False,False,,False,False,,,,
P51684,CCR6_HUMAN,True,False,False,False,False,,False,False,,,,
P51685,CCR8_HUMAN,True,False,False,False,False,,False,False,,,,
P51686,CCR9_HUMAN,True,False,False,False,False,,False,False,,,,
P53420,CO4A4_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
P54762,EPHB1_HUMAN,True,False,False,False,False,,False,False,,,,
P54764,EPHA4_HUMAN,True,False,False,False,False,,False,False,,,,
P58294,PROK1_HUMAN,False,True,False,False,True,Growthfactor,False,False,,,,
P61073,CXCR4_HUMAN,True,False,False,False,False,,False,False,,,,
Q01726,MSHR_HUMAN,True,False,False,False,False,,False,False,,,,
Q01955,CO4A3_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q01974,ROR2_HUMAN,True,False,False,False,False,,False,False,,,,
Q02223,TNR17_HUMAN,True,False,False,False,False,,False,False,,,,
Q02388,CO7A1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q02413,DSG1_HUMAN,True,False,False,False,False,,False,False,,,desmosome junctions,
Q02487,DSC2_HUMAN,True,False,False,False,False,,False,False,,,desmosome junctions,
Q03405,UPAR_HUMAN,True,True,False,False,False,,False,False,,,,
Q03431,PTH1R_HUMAN,True,False,False,False,False,,False,False,,,,
Q03692,COAA1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q04721,NOTC2_HUMAN,True,False,False,False,False,,False,False,,,,
Q05707,COEA1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q06418,TYRO3_HUMAN,True,False,False,False,False,,False,False,,,,
Q07092,COGA1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q08345,DDR1_HUMAN,True,True,False,False,False,,False,False,,,,
Q08554,DSC1_HUMAN,True,False,False,False,False,,False,False,,,desmosome junctions,
Q13275,SEM3F_HUMAN,False,True,False,False,False,,False,False,,,,
Q13324,CRFR2_HUMAN,True,False,False,False,False,,False,False,,,,
Q13467,FZD5_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
Q13740,CD166_HUMAN,True,True,False,False,False,,False,False,,To_comment,,Extracellular_add
Q14031,CO4A6_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q14050,CO9A3_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q14055,CO9A2_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q14126,DSG2_HUMAN,True,False,False,False,False,,False,False,,,desmosome junctions,
Q14332,FZD2_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
Q14563,SEM3A_HUMAN,False,True,False,False,False,,False,False,,,,
Q14574,DSC3_HUMAN,True,False,False,False,False,,False,False,,,desmosome junctions,
Q14773,ICAM4_HUMAN,True,True,False,False,False,,False,False,,,,
Q14943,KI3S1_HUMAN,True,False,False,False,False,,False,False,,,,
Q14993,COJA1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q15223,PVRL1_HUMAN,True,True,False,False,False,,False,False,,,,
Q15760,GPR19_HUMAN,True,False,False,False,False,,False,False,,,,
Q15761,NPY5R_HUMAN,True,False,False,False,False,,False,False,,,,
Q15762,CD226_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
Q16581,C3AR_HUMAN,True,False,False,False,False,,False,False,,,,
Q16787,LAMA3_HUMAN,False,True,False,False,False,,False,False,,,laminin,
Q17RW2,COOA1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q2UY09,COSA1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q495A1,TIGIT_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
Q5TAT6,CODA1_HUMAN,True,False,False,False,False,,False,False,,,Collagen,
Q5VY80,RET1L_HUMAN,True,False,False,False,False,,False,False,,,,
Q68D85,NR3L1_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
Q6GTX8,LAIR1_HUMAN,True,False,False,False,False,,False,False,,,,
Q6H3X3,RET1G_HUMAN,True,True,False,False,False,,False,False,,,,
Q6UVW9,CLC2A_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
Q6UW32,IGFL1_HUMAN,False,True,False,False,True,Growthfactor,False,False,,,,
Q6UWQ7,IGFL2_HUMAN,False,True,False,False,True,Growthfactor,False,False,,,,
Q6UXB1,IGFL3_HUMAN,False,True,False,False,True,Growthfactor,False,False,,,,
Q6W5P4,NPSR1_HUMAN,True,False,False,False,False,,False,False,,,,
Q6ZMJ4,IL34_HUMAN,False,True,False,False,True,Growthfactor | Cytokine,False,False,,,,
Q86WN2,IFNE_HUMAN,False,True,False,False,True,Cytokine,False,False,,,,
Q8IZC6,CORA1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q8NFJ6,PKR2_HUMAN,True,False,False,False,False,,False,False,,,,
Q8NFW1,COMA1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q8NHJ6,LIRB4_HUMAN,True,False,False,False,False,,False,False,,,,
Q8NHL6,LIRB1_HUMAN,True,True,False,False,False,,False,False,,,,
Q8TCW9,PKR1_HUMAN,True,False,False,False,False,,False,False,,,,
Q8TD46,MO2R1_HUMAN,True,True,False,False,False,,False,False,,,,
Q8TDU9,RL3R2_HUMAN,True,False,False,False,False,,False,False,,,,
Q8WWZ1,IL1FA_HUMAN,False,True,False,False,True,Cytokine,False,False,,,,
Q8WXD0,RXFP2_HUMAN,True,False,False,False,False,,False,False,,,,
Q92520,FAM3C_HUMAN,False,True,False,False,True,Cytokine_like,False,False,,,,
Q92692,PVRL2_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
Q92847,GHSR_HUMAN,True,False,False,False,False,,False,False,,,,
Q92854,SEM4D_HUMAN,True,False,False,False,False,,False,False,,,,
Q969E1,LEAP2_HUMAN,False,True,False,False,False,,False,False,,,,
Q969F8,KISSR_HUMAN,True,False,False,False,False,,False,False,,,,
Q96A83,COQA1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q96E93,KLRG1_HUMAN,True,False,False,False,False,,False,False,,,,
Q96LB1,MRGX2_HUMAN,True,False,False,False,False,,False,False,,,,
Q96LB2,MRGX1_HUMAN,True,False,False,False,False,,False,False,,,,
Q96LC7,SIG10_HUMAN,True,True,False,False,False,,False,True,Sialic acid-binding Ig-like,,Sialic acid-binding Ig-like,
Q96P44,COLA1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q96P65,QRFPR_HUMAN,True,False,False,False,False,,False,False,,,,
Q96PJ5,FCRL4_HUMAN,True,False,False,False,False,,False,False,,,,
Q96QR1,SG3A1_HUMAN,False,True,False,False,True,Cytokine,False,False,,,,
Q96S42,NODAL_HUMAN,False,True,False,False,True,Growthfactor | Cytokine,False,False,,,,
Q99062,CSF3R_HUMAN,True,True,False,False,False,,False,False,,,,
Q99466,NOTC4_HUMAN,True,False,False,False,False,,False,False,,,,
Q99715,COCA1_HUMAN,False,True,False,False,False,,False,False,,,Collagen,
Q99788,CML1_HUMAN,True,False,False,False,False,,False,False,,,,
Q99983,OMD_HUMAN,False,True,False,False,False,,False,False,,,,
Q99985,SEM3C_HUMAN,False,True,False,False,False,,False,False,,,,
Q99988,GDF15_HUMAN,False,True,False,False,True,Growthfactor | Cytokine,False,False,,,,
Q9BQ51,PD1L2_HUMAN,True,True,False,False,False,,False,False,,To_comment,,Extracellular_add
Q9BX67,JAM3_HUMAN,True,True,False,False,False,,False,False,,,,
Q9BXB1,LGR4_HUMAN,True,False,False,False,False,,False,False,,,,
Q9BY67,CADM1_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
Q9BZM4,N2DL3_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
Q9BZM5,N2DL2_HUMAN,True,True,False,False,False,,False,False,,,,
Q9BZZ2,SN_HUMAN,True,True,False,False,False,,False,True,Sialic acid-binding Ig-like,,Sialic acid-binding Ig-like,
Q9GZQ4,NMUR2_HUMAN,True,False,False,False,False,,False,False,,,,
Q9GZQ6,NPFF1_HUMAN,True,False,False,False,False,,False,False,,,,
Q9H2X3,CLC4M_HUMAN,True,True,False,False,False,,False,False,,,,
Q9H3N8,HRH4_HUMAN,True,False,False,False,False,,False,False,,,,
Q9H3S1,SEM4A_HUMAN,True,False,False,False,False,,False,False,,,,
Q9H461,FZD8_HUMAN,True,False,False,False,False,,False,False,,To_comment,,Extracellular_add
Q9H665,IGFR1_HUMAN,True,False,False,False,False,,False,False,,,,
Q9HB89,NMUR1_HUMAN,True,False,False,False,False,,False,False,,,,
Q9HBX8,LGR6_HUMAN,True,False,False,False,False,,False,False,,,,
Q9HBX9,RXFP1_HUMAN,True,False,False,False,False,,False,False,,,,
