"","Neutrophil"
"HTR1D",0
"AL109936.1",0
"LINC01355",0
"AL109936.6",0
"HNRNPR",0
"ZNF436",0
"ZNF436-AS1",0
"AL109936.2",0
"TCEA3",0
"AL357134.1",0
"ASAP3",0
"E2F2",0
"AL021154.1",0
"ID3",0
"AL450043.1",0.0494438540969762
"MDS2",0
"AL451000.1",0
"RPL11",0.490527074928608
"ELOA",0.0899546746801108
"ELOA-AS1",0
"PITHD1",0.109820681914417
"LYPLA2",0.698805721925027
"GALE",0.164479670454063
"HMGCL",0.121123112193849
"FUCA1",0.147782462459147
"CNR2",0.0659306611958861
"BTBD6P1",0
"AL590609.3",0
"MIR378F",0
"AL590609.2",0.0337875340477699
"PNRC2",0.156526927274908
"SRSF10",0.0978366421943482
"AL590609.1",0
"AL591178.1",0
"MYOM3",0.0504105929662652
"AL591178.2",0
"IL22RA1",0.0500925017537848
"IFNLR1",0.0503778968777408
"AL590683.1",0
"AL138902.1",0
"GRHL3",0.0373144949551451
"STPG1",0.178466541239639
"NIPAL3",0.316610330472589
"RCAN3",0.0514522652838499
"AL445686.2",0
"NCMAP",0
"AL445686.1",0
"SRRM1",1.16339502520281
"AL445648.1",0
"CLIC4",0
"RNU6-1208P",0
"RUNX3",0
"MIR6731",0
"AL445471.1",0
"AL445471.2",0
"MIR4425",0
"AL050344.2",0
"AL050344.1",0
"AL121994.1",0.0889664544620491
"AL031432.1",0
"SYF2",0.720800987064871
"AL031432.4",0
"AL031432.5",0
"RSRP1",0.728247542340333
"AL031432.3",0
"AL031432.2",0
"RHD",0.0257960937084383
"SDHDP6",0
"AL928711.1",0
"TMEM50A",0.691629564916723
"RHCE",0
"AL031284.1",0
"MACO1",0.086036617585451
"LDLRAP1",0.0376680386508146
"AL606491.1",0
"MAN1C1",0.0860820608340458
"AL031280.1",0
"SELENON",0.0320081302074959
"AL020996.2",0
"AL020996.1",0
"MTFR1L",0.0486304285680364
"AL020996.3",0
"AUNIP",0.0585705426837677
"AL033528.2",0
"PAQR7",0.131238465999799
"STMN1",0.0604885638892001
"SNRPFP2",0
"AL033528.1",0
"MIR3917",0
"PAFAH2",0
"RNU6-110P",0
"RF00492",0
"RF00283",0
"EXTL1",0
"SLC30A2",0.0397286360514782
"AL391650.2",0
"TRIM63",0
"PDIK1L",0.0787398994108188
"FAM110D",0.0260791293192493
"C1orf232",0
"AL391650.1",0
"ZNF593",0
"CNKSR1",0
"CATSPER4",0.0534596311065787
"AL355877.1",0.0650728152381199
"AL355877.3",0.0581833815199284
"CEP85",0.0660276314715314
"AL355877.2",0
"SH3BGRL3",3.68079075729408
"UBXN11",0
"CD52",0.0305844503572395
"CRYBG2",0.129306811130349
