Cell	cell_type
B16_B003142.gencode.vH29	Capillary
B18_B002383.gencode.vH29	Capillary
B19_B002382.gencode.vH29	Capillary
B2_B003140.gencode.vH29	Capillary
B20_B002385.gencode.vH29	Capillary
B3_B003135.gencode.vH29	Capillary Aerocyte
B3_B003140.gencode.vH29	Capillary
B5_B003141.gencode.vH29	Capillary Intermediate 1
B7_B002385.gencode.vH29	Capillary
C11_B002386.gencode.vH29	Capillary
C13_B003141.gencode.vH29	Capillary Intermediate 1
C14_B003139.gencode.vH29	Capillary
C15_B003140.gencode.vH29	Capillary
C16_B002383.gencode.vH29	Capillary
C17_B003139.gencode.vH29	Capillary
C18_B002383.gencode.vH29	Capillary
C18_B003141.gencode.vH29	Capillary
C19_B003139.gencode.vH29	Capillary
C19_B003142.gencode.vH29	Capillary
C2_B003137.gencode.vH29	Capillary Aerocyte
C2_B003140.gencode.vH29	Capillary
C20_B002383.gencode.vH29	Capillary
C4_B003136.gencode.vH29	Capillary Intermediate 1
C5_B003139.gencode.vH29	Capillary
C9_B002386.gencode.vH29	Capillary
D12_B002386.gencode.vH29	Capillary
D15_B002383.gencode.vH29	Capillary
D16_B002383.gencode.vH29	Capillary
D16_B003139.gencode.vH29	Capillary
D16_B003140.gencode.vH29	Capillary
D18_B003139.gencode.vH29	Capillary
D18_B003141.gencode.vH29	Capillary
D19_B002014.gencode.vH29	Capillary
D19_B003139.gencode.vH29	Capillary
D20_B003139.gencode.vH29	Capillary
D4_B003139.gencode.vH29	Capillary
D5_B002383.gencode.vH29	Capillary
D5_B003139.gencode.vH29	Capillary Intermediate 1
E11_B003136.gencode.vH29	Capillary
E14_B002382.gencode.vH29	Capillary
E14_B002383.gencode.vH29	Capillary
E14_B002385.gencode.vH29	Artery
E16_B003139.gencode.vH29	Capillary
E17_B003142.gencode.vH29	Capillary
E18_B002383.gencode.vH29	Capillary
E2_B003142.gencode.vH29	Capillary
E20_B003139.gencode.vH29	Capillary
E3_B003136.gencode.vH29	Capillary
E4_B003141.gencode.vH29	Capillary
E6_B003142.gencode.vH29	Capillary
F11_B003142.gencode.vH29	Capillary
F12_B003136.gencode.vH29	Capillary
F14_B003139.gencode.vH29	Capillary
F16_B002383.gencode.vH29	Capillary
F16_B003138.gencode.vH29	Capillary
F17_B002383.gencode.vH29	Capillary
F18_B002383.gencode.vH29	Capillary
F18_B003139.gencode.vH29	Capillary
F19_B003139.gencode.vH29	Capillary
F19_B003140.gencode.vH29	Capillary
F2_B002382.gencode.vH29	Capillary
F2_B003142.gencode.vH29	Capillary
F20_B002014.gencode.vH29	Capillary
F6_B002382.gencode.vH29	Capillary Intermediate 1
F6_B002385.gencode.vH29	Capillary
F7_B002382.gencode.vH29	Capillary
F7_B002383.gencode.vH29	Capillary
G11_B002386.gencode.vH29	Capillary
G11_B003142.gencode.vH29	Capillary
G13_B003138.gencode.vH29	Capillary
G17_B003142.gencode.vH29	Capillary
G18_B002383.gencode.vH29	Capillary
G19_B002382.gencode.vH29	Capillary
G19_B002383.gencode.vH29	Capillary
G20_B002383.gencode.vH29	Capillary
G20_B003140.gencode.vH29	Capillary
G20_B003142.gencode.vH29	Capillary Aerocyte
G6_B002386.gencode.vH29	Capillary
G7_B003140.gencode.vH29	Capillary
G8_B002386.gencode.vH29	Capillary
H1_B003141.gencode.vH29	Vein
H14_B003141.gencode.vH29	Capillary
H15_B003140.gencode.vH29	Capillary
H16_B003139.gencode.vH29	Capillary
H16_B003142.gencode.vH29	Capillary
H18_B003139.gencode.vH29	Capillary
H19_B003139.gencode.vH29	Capillary
H20_B002383.gencode.vH29	Capillary
H20_B003138.gencode.vH29	Capillary
H20_B003142.gencode.vH29	Capillary
H7_B002014.gencode.vH29	Capillary
H9_B002382.gencode.vH29	Capillary Aerocyte
H9_B002385.gencode.vH29	Capillary
I12_B003136.gencode.vH29	Capillary
I14_B002383.gencode.vH29	Capillary
I14_B003138.gencode.vH29	Artery
I14_B003140.gencode.vH29	Capillary
I14_B003141.gencode.vH29	Capillary
I15_B003140.gencode.vH29	Capillary
I15_B003141.gencode.vH29	Capillary Aerocyte
I16_B002014.gencode.vH29	Capillary
I16_B003142.gencode.vH29	Capillary
I17_B002383.gencode.vH29	Capillary
I18_B002383.gencode.vH29	Capillary
I3_B002383.gencode.vH29	Capillary
I3_B002386.gencode.vH29	Capillary
I5_B003135.gencode.vH29	Capillary
I8_B003138.gencode.vH29	Capillary Intermediate 1
I8_B003139.gencode.vH29	Capillary
J1_B003138.gencode.vH29	Capillary
